[00:41:01] [Dziekan] Uczelnia otwarta. Miejsc: 1500. Przewidywana liczba kandydatow: 15000.
[00:41:01] [Dziekan] Komisja A (PID: 345518) i komisja B (PID: 345519) rozpoczynaja prace.
[00:41:08] 
 [Dziekan] KONIEC EGZAMINU. OBLICZANIE RANKINGU I PUBLIKACJA WYNIKOW

=================================================================================
| NR   | PID        | MATURA   | KOM A    | KOM B    | SUMA  | STATUS                   |
| 302  | 346044     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 303  | 346045     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 304  | 346046     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 305  | 346047     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 306  | 346048     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 307  | 346049     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 308  | 346050     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 309  | 346051     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 310  | 346052     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 311  | 346053     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 312  | 346054     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 313  | 346055     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 314  | 346056     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 315  | 346057     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 316  | 346058     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 317  | 346059     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 318  | 346060     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 319  | 346061     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 320  | 346062     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 321  | 346063     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 322  | 346175     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 323  | 346176     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 324  | 346177     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 325  | 346178     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 326  | 346179     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 327  | 346180     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 328  | 346181     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 329  | 346182     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 330  | 346183     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 331  | 346184     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 332  | 346185     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 333  | 346186     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 334  | 346187     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 335  | 346188     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 336  | 346189     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 337  | 346190     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 338  | 346191     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 339  | 346193     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 340  | 346194     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 341  | 346195     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 342  | 346198     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 343  | 346199     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 344  | 346200     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 345  | 346201     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 346  | 346202     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 347  | 346203     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 348  | 346204     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 349  | 346205     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 350  | 346206     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 351  | 346207     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 352  | 346208     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 353  | 346209     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 354  | 346210     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 355  | 346211     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 356  | 346212     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 357  | 346213     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 358  | 346214     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 359  | 346215     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 360  | 346216     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 361  | 346217     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 362  | 346218     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 363  | 346219     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 364  | 346220     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 365  | 346221     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 366  | 346222     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 367  | 346223     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 368  | 346224     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 369  | 346225     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 370  | 346226     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 371  | 346227     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 372  | 346228     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 373  | 346229     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 374  | 346230     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 375  | 346231     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 376  | 346232     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 377  | 346233     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 378  | 346234     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 379  | 346235     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 380  | 346236     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 381  | 346237     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 382  | 346241     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 383  | 346242     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 384  | 346243     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 385  | 346244     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 386  | 346245     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 387  | 346246     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 388  | 346247     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 389  | 346248     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 390  | 346249     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 391  | 346250     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 392  | 346251     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 393  | 346252     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 394  | 346253     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 395  | 346254     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 396  | 346255     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 397  | 346256     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 398  | 346257     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 399  | 346258     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 400  | 346259     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 401  | 346260     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 402  | 346261     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 403  | 346262     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 404  | 346263     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 405  | 346264     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 406  | 346265     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 407  | 346266     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 408  | 346267     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 409  | 346268     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 410  | 346269     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 411  | 346270     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 412  | 346271     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 413  | 346272     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 414  | 346273     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 415  | 346274     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 416  | 346275     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 417  | 346276     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 418  | 346277     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 419  | 346278     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 420  | 346279     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 421  | 346280     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 422  | 346284     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 423  | 346285     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 424  | 346286     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 425  | 346287     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 426  | 346288     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 427  | 346289     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 428  | 346290     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 429  | 346291     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 430  | 346292     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 431  | 346293     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 432  | 346294     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 433  | 346295     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 434  | 346296     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 435  | 346297     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 436  | 346298     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 437  | 346299     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 438  | 346300     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 439  | 346301     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 440  | 346302     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 441  | 346303     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 442  | 346304     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 443  | 346305     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 444  | 346306     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 445  | 346307     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 446  | 346308     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 447  | 346309     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 448  | 346310     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 449  | 346311     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 450  | 346312     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 451  | 346313     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 452  | 346314     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 453  | 346315     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 454  | 346316     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 455  | 346317     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 456  | 346318     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 457  | 346319     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 458  | 346320     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 459  | 346321     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 460  | 346322     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 461  | 346323     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 462  | 346324     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 463  | 346325     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 464  | 346326     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 465  | 346327     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 466  | 346328     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 467  | 346329     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 468  | 346330     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 469  | 346331     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 470  | 346332     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 471  | 346333     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 472  | 346334     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 473  | 346335     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 474  | 346336     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 475  | 346337     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 476  | 346338     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 477  | 346339     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 478  | 346340     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 479  | 346341     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 480  | 346342     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 481  | 346343     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 482  | 346344     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 483  | 346345     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 484  | 346346     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 485  | 346347     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 486  | 346348     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 487  | 346349     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 488  | 346350     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 489  | 346351     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 490  | 346352     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 491  | 346353     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 492  | 346354     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 493  | 346355     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 494  | 346356     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 495  | 346357     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 496  | 346358     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 497  | 346359     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 498  | 346360     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 499  | 346361     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 500  | 346362     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 501  | 346363     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 502  | 346364     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 503  | 346365     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 504  | 346366     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 505  | 346367     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 506  | 346368     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 507  | 346369     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 508  | 346370     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 509  | 346371     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 510  | 346372     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 511  | 346373     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 512  | 346374     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 513  | 346375     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 514  | 346376     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 515  | 346377     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 516  | 346378     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 517  | 346379     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 518  | 346380     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 519  | 346381     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 520  | 346382     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 521  | 346383     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 522  | 346406     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 523  | 346407     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 524  | 346408     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 525  | 346409     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 526  | 346411     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 527  | 346412     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 528  | 346413     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 529  | 346414     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 530  | 346415     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 531  | 346417     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 532  | 346418     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 533  | 346419     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 534  | 346420     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 535  | 346421     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 536  | 346422     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 537  | 346423     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 538  | 346424     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 539  | 346425     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 540  | 346426     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 541  | 346427     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 542  | 346550     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 543  | 346551     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 544  | 346552     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 545  | 346553     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 546  | 346554     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 547  | 346555     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 548  | 346557     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 549  | 346558     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 550  | 346559     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 551  | 346560     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 552  | 346561     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 553  | 346562     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 554  | 346563     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 555  | 346565     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 556  | 346566     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 557  | 346567     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 558  | 346568     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 559  | 346569     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 560  | 346570     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 561  | 346571     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 562  | 346682     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 563  | 346683     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 564  | 346684     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 565  | 346685     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 566  | 346686     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 567  | 346687     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 568  | 346689     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 569  | 346690     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 570  | 346691     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 571  | 346692     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 572  | 346693     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 573  | 346694     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 574  | 346695     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 575  | 346696     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 576  | 346697     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 577  | 346699     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 578  | 346700     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 579  | 346701     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 580  | 346702     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 581  | 346703     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 582  | 346812     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 583  | 346813     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 584  | 346814     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 585  | 346815     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 586  | 346816     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 587  | 346817     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 588  | 346818     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 589  | 346819     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 590  | 346820     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 591  | 346821     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 592  | 346822     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 593  | 346823     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 594  | 346824     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 595  | 346825     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 596  | 346826     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 597  | 346828     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 598  | 346829     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 599  | 346830     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 600  | 346831     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 601  | 346832     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 602  | 346971     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 603  | 346972     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 604  | 346973     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 605  | 346974     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 606  | 346975     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 607  | 346976     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
